,event_id,depth,magnitude,latitude,longitude,time_utc,time_ak,distance,backazimuth,array,slowness,trace_vel,incident_angle,p_arrival
170,us10004agt,36.07,3.3,53.9008,-164.0138,2015-12-29T11:48:36.420000Z,2015-12-29T03:48:36.420000Z,157.98699727383155,87.25849459362601,POM,0.1236719951040895,8.085904971116074,45.83181130759109,23.300597185266444
171,us10004agz,24.4,3.4,52.307,-169.539,2015-12-29T02:17:10.000000Z,2015-12-28T18:17:10.000000Z,271.2006491042483,231.76966258863715,POM,0.1236743539139021,8.085750750686486,45.83293632798115,38.265293173015124
172,us10004bc9,53.5,3.3,53.6405,-164.8007,2015-12-28T18:04:32.000000Z,2015-12-28T10:04:32.000000Z,109.18432158982083,102.09233893125892,POM,0.11946313905823994,8.370782886531101,43.85901361283763,17.553898863626948
173,us10004bjg,50.84,4.0,52.5548,-169.8064,2015-12-28T07:54:06.220000Z,2015-12-27T23:54:06.220000Z,268.9325077784311,238.76750288084227,POM,0.12319850381804394,8.116981692220337,45.60644044412429,37.05350588322719
174,us10004bcd,45.6,3.6,53.5728,-164.7982,2015-12-28T03:21:54.000000Z,2015-12-27T19:21:54.000000Z,111.32988726248067,105.84779341946732,POM,0.1222146033726041,8.182328235777446,45.14099448729091,17.62128877712997
175,us100049lw,42.07,3.8,52.7278,-168.1561,2015-12-26T04:04:38.140000Z,2015-12-25T20:04:38.140000Z,171.07384035190043,223.4359724496225,POM,0.12342449755918378,8.102119269478784,45.7138948401621,24.93426188391747
176,us100049c1,97.0,3.8,53.3695,-167.7663,2015-12-22T21:03:09.000000Z,2015-12-22T13:03:09.000000Z,104.59450119643216,239.30462064588005,POM,0.09633906941523501,10.380004769299344,33.97054294311594,19.522467972661143
177,us100049bw,24.62,3.0,54.1632,-162.4491,2015-12-22T17:05:24.660000Z,2015-12-22T09:05:24.660000Z,262.1957046997123,80.92829683980379,POM,0.1236743539139021,8.085750750686486,45.83293632798115,37.131752285353016
178,us10004994,11.1,3.8,52.19,-169.1799,2015-12-21T09:26:20.000000Z,2015-12-21T01:26:20.000000Z,262.32064285546886,226.11433252735554,POM,0.1236743539139021,8.085750750686486,45.83293632798115,38.63348704398785
179,us1000498w,35.43,3.7,51.9495,-171.0374,2015-12-21T06:51:30.960000Z,2015-12-20T22:51:30.960000Z,376.4371131782027,237.5475934679134,POM,0.12363819119108496,8.088115738077102,45.81569122843716,50.31557705942852
180,us10004a5a,29.31,3.2,53.3079,-160.7815,2015-12-20T09:10:29.810000Z,2015-12-20T01:10:29.810000Z,377.9750916167346,97.02583778167728,POM,0.12364603925261383,8.08760236918677,45.81943331920308,51.02320064785228
181,us1000491v,23.52,4.0,51.4828,-168.7264,2015-12-20T01:43:58.420000Z,2015-12-19T17:43:58.420000Z,306.9554836982087,211.54334885141,POM,0.12366650585237325,8.086263884529485,45.829193329481626,42.76719767598492
182,us100049fb,28.2,3.0,54.0345,-163.7537,2015-12-16T05:44:03.000000Z,2015-12-15T21:44:03.000000Z,175.84921654942383,82.47161159029959,POM,0.12368061600380284,8.085341359952903,45.83592310505955,26.127256185806907
183,us20004h58,46.67,5.2,52.835,-167.9241,2015-12-14T21:12:01.830000Z,2015-12-14T13:12:01.830000Z,151.76817847702625,222.07421548748147,POM,0.12288021246260879,8.13800676251508,45.45544890557375,22.595044519416604
184,us20004hjy,32.4,3.8,52.259,-168.049,2015-12-12T06:55:36.960000Z,2015-12-11T22:55:36.960000Z,208.85159732199278,212.29149881722466,POM,0.1236840622672235,8.085116074530823,45.83756690912784,29.828095538155583
185,ak015fppi8et,210.3,3.0,53.0318,-170.9309,2015-12-08T06:23:05.491000Z,2015-12-07T22:23:05.491000Z,313.73474777905074,254.80648901866186,POM,0.10229825226307679,9.775338071547258,36.393663186820554,48.08747450849536
186,us20004gqg,51.3,3.0,51.9823,-171.2561,2015-12-07T04:30:12.000000Z,2015-12-06T20:30:12.000000Z,386.5865754015514,239.30184608107922,POM,0.12332837994199725,8.108433764153162,45.66816809950348,51.55995235073224
