,mean_power,median_power,frequency,time,station
111693,-131.8533938471667,-130.6229768258901,2.46754,2015-12-16,3A05
111694,-131.86166149849848,-130.54121107296652,2.69087,2015-12-16,3A05
111695,-131.90921897193178,-130.5227345038467,2.93441,2015-12-16,3A05
111696,-131.89099112254658,-130.40075048424868,3.2,2015-12-16,3A05
111697,-131.84241155781078,-130.5124213450448,3.48962,2015-12-16,3A05
111698,-131.8039557557506,-130.80563064936766,3.80546,2015-12-16,3A05
111699,-131.80699037086632,-131.23939228575992,4.14989,2015-12-16,3A05
111700,-131.75425681791253,-131.38379086046572,4.52548,2015-12-16,3A05
111701,-131.8679248857813,-131.8530395666324,4.93507,2015-12-16,3A05
111702,-131.85404482407807,-132.13876865386527,5.38174,2015-12-16,3A05
111703,-131.7148502249289,-132.02913809726937,5.86883,2015-12-16,3A05
111704,-131.54322233441724,-132.51437467484277,6.4,2015-12-16,3A05
111705,-131.37295435602897,-132.79764946241198,6.97925,2015-12-16,3A05
111706,-131.1636858930431,-132.39578333985162,7.61093,2015-12-16,3A05
111707,-130.68438326321618,-132.20762347598213,8.29977,2015-12-16,3A05
111708,-129.93666201371286,-131.52129818392564,9.05097,2015-12-16,3A05
111709,-128.52503119378133,-128.9597763001643,9.87015,2015-12-16,3A05
111710,-126.93195004655851,-127.5192796210266,10.7635,2015-12-16,3A05
111711,-124.67328990061058,-125.35879841124888,11.7377,2015-12-16,3A05
111712,-122.25937332385521,-123.201339281302,12.8,2015-12-16,3A05
111713,-120.66580363784905,-121.6818568293384,13.9585,2015-12-16,3A05
111714,-119.3119400856053,-120.20482093666912,15.2219,2015-12-16,3A05
111715,-118.80823249098243,-119.62735802289734,16.5995,2015-12-16,3A05
111716,-118.34069104082809,-119.43131870040258,18.1019,2015-12-16,3A05
111717,-116.8595468840561,-118.09735113937526,19.7403,2015-12-16,3A05
111718,-107.2043754346874,-108.45844777511294,21.5269,2015-12-16,3A05
111719,-73.5413323880967,-75.01370260086267,23.4753,2015-12-16,3A05
111720,-98.2463146160707,-98.28572355224092,0.0052556,2015-12-17,3A05
111721,-99.61388857390342,-99.46280985049916,0.00573128,2015-12-17,3A05
111722,-100.36645578228608,-100.21537705888184,0.00625,2015-12-17,3A05
111723,-101.44892560793288,-101.32844773559248,0.00681567,2015-12-17,3A05
111724,-102.20150028601255,-102.08102241367207,0.00743254,2015-12-17,3A05
111725,-103.23471169753901,-103.31170531456029,0.00810525,2015-12-17,3A05
111726,-104.91725435687482,-104.98857265474714,0.00883883,2015-12-17,3A05
111727,-105.66983568025508,-105.7411539781274,0.00963882,2015-12-17,3A05
111728,-106.61078155141165,-106.61862155141164,0.0105112,2015-12-17,3A05
111729,-107.882761656853,-107.88754144408706,0.0114626,2015-12-17,3A05
111730,-108.85381967932886,-108.84267542400973,0.0125,2015-12-17,3A05
111731,-110.17207465621372,-110.261723379618,0.0136313,2015-12-17,3A05
111732,-111.13967557187809,-111.17613450804826,0.0148651,2015-12-17,3A05
111733,-112.54784263284881,-112.668506675402,0.0162105,2015-12-17,3A05
111734,-113.67068679606976,-113.57736977479315,0.0176777,2015-12-17,3A05
111735,-114.58797668814789,-114.55515158176492,0.0192776,2015-12-17,3A05
111736,-115.9347711984789,-115.9231667303938,0.0210224,2015-12-17,3A05
111737,-117.16103060066122,-117.22378740917188,0.0229251,2015-12-17,3A05
111738,-118.27831114142131,-118.25393007759152,0.025,2015-12-17,3A05
111739,-119.30443687028945,-119.3289472958214,0.0272627,2015-12-17,3A05
111740,-120.36406178203407,-120.34082050543832,0.0297302,2015-12-17,3A05
111741,-121.48728774906317,-121.4754507277866,0.032421,2015-12-17,3A05
111742,-122.46613416198292,-122.52326650240845,0.0353553,2015-12-17,3A05
111743,-123.45513578670423,-123.44620961649144,0.0385553,2015-12-17,3A05
111744,-124.48927931363967,-124.5257342072567,0.0420448,2015-12-17,3A05
111745,-125.53744778214968,-125.5644952289582,0.0458502,2015-12-17,3A05
111746,-126.58282383911789,-126.65728362635194,0.05,2015-12-17,3A05
111747,-127.61120056044992,-127.85585481576906,0.0545254,2015-12-17,3A05
111748,-128.60166222222455,-128.81505477541606,0.0594604,2015-12-17,3A05
111749,-129.61012342442956,-129.8713106584721,0.064842,2015-12-17,3A05
111750,-130.51423706536744,-130.82453004409084,0.0707107,2015-12-17,3A05
111751,-131.22726991170202,-131.52011246489351,0.0771105,2015-12-17,3A05
111752,-131.0641958433047,-131.41255094968764,0.0840896,2015-12-17,3A05
111753,-128.01125054451074,-127.90699586365967,0.0917004,2015-12-17,3A05
111754,-123.86517586879474,-122.89392501773088,0.1,2015-12-17,3A05
111755,-120.47587718401306,-119.6479239925237,0.109051,2015-12-17,3A05
111756,-117.94553328964342,-117.29379924709023,0.118921,2015-12-17,3A05
111757,-116.44743234398318,-115.92885149291934,0.129684,2015-12-17,3A05
111758,-115.25956301101921,-115.32589279825324,0.141421,2015-12-17,3A05
111759,-114.0260912542948,-114.1934742330182,0.154221,2015-12-17,3A05
111760,-112.52558957715969,-112.53230447077674,0.168179,2015-12-17,3A05
111761,-111.01382939182382,-110.71955279607911,0.183401,2015-12-17,3A05
111762,-109.89171490363321,-108.9045383078885,0.2,2015-12-17,3A05
111763,-109.56761015600995,-108.43119951771207,0.218102,2015-12-17,3A05
111764,-109.82308015869641,-108.65235249912192,0.237841,2015-12-17,3A05
111765,-110.27803515517645,-109.0813543041126,0.259368,2015-12-17,3A05
111766,-110.84280648368173,-109.77201499432002,0.282843,2015-12-17,3A05
111767,-111.51229297271203,-110.61755254718013,0.308442,2015-12-17,3A05
111768,-112.29790168379985,-111.9254399816722,0.336359,2015-12-17,3A05
111769,-113.25057146476185,-113.24410125199589,0.366802,2015-12-17,3A05
111770,-114.40273580534596,-114.7091826138566,0.4,2015-12-17,3A05
111771,-115.36943829717502,-115.70494680781334,0.436203,2015-12-17,3A05
111772,-116.15456582139612,-116.53864880011952,0.475683,2015-12-17,3A05
111773,-116.9239828106929,-117.32368706601204,0.518736,2015-12-17,3A05
111774,-117.79604989935741,-118.08906479297444,0.565685,2015-12-17,3A05
111775,-118.71002445622182,-118.88763722217924,0.616884,2015-12-17,3A05
111776,-119.61088168825529,-119.61422424144678,0.672717,2015-12-17,3A05
111777,-120.4953502261503,-120.6215246942354,0.733603,2015-12-17,3A05
111778,-121.33315235129587,-121.2775034151257,0.8,2015-12-17,3A05
